"","RANK","Country","Happiness score","Whisker-high","Whisker-low","Dystopia (1.83) + residual","Explained by: GDP per capita","Explained by: Social support","Explained by: Healthy life expectancy","Explained by: Freedom to make life choices","Explained by: Generosity","Explained by: Perceptions of corruption"
"1",1,"Finland",7.82100009918213,7.88642549514771,7.75557470321655,2.5180516242981,1.89162802696228,1.25810837745667,0.775206446647644,0.735590219497681,0.108733050525188,0.533658087253571
"2",2,"Denmark",7.63619995117188,7.7098970413208,7.56250286102295,2.22563171386719,1.95259487628937,1.24268126487732,0.776643514633179,0.718918442726135,0.187625706195831,0.532078921794891
"3",3,"Iceland",7.55749988555908,7.65107583999634,7.46392393112183,2.3201847076416,1.93572640419006,1.31991350650787,0.802621603012085,0.718194484710693,0.26961612701416,0.191204234957695
"4",4,"Switzerland",7.51160001754761,7.5863938331604,7.43680620193481,2.15274620056152,2.02596974372864,1.22607386112213,0.822047650814056,0.676946938037872,0.146821707487106,0.46100440621376
"5",5,"Netherlands",7.4148998260498,7.47126531600952,7.35853433609009,2.1369366645813,1.94457793235779,1.2058482170105,0.786737620830536,0.650681734085083,0.27107647061348,0.419083088636398
"6",6,"Luxembourg*",7.40399980545044,7.50134801864624,7.30665159225464,2.04168033599854,2.20939540863037,1.15452468395233,0.790364623069763,0.699727773666382,0.120202884078026,0.388119965791702
"7",7,"Sweden",7.38430023193359,7.45409107208252,7.31450939178467,2.0034761428833,1.92025852203369,1.20404314994812,0.80260819196701,0.723704695701599,0.217929646372795,0.512238383293152
"8",8,"Norway",7.36509990692139,7.43979930877686,7.29040050506592,1.92458438873291,1.9971911907196,1.23904871940613,0.7860307097435,0.727647840976715,0.216640248894691,0.47399914264679
"9",9,"Israel",7.36380004882812,7.42628765106201,7.30131244659424,2.63410711288452,1.82592952251434,1.22099578380585,0.817636966705322,0.567640423774719,0.154837638139725,0.142614156007767
"10",10,"New Zealand",7.19980001449585,7.27939939498901,7.12020063400269,1.95358324050903,1.8520405292511,1.23463356494904,0.752117037773132,0.679753422737122,0.244661137461662,0.483002811670303
"11",11,"Austria",7.16300010681152,7.23660469055176,7.08939552307129,2.14751529693604,1.93132257461548,1.16525661945343,0.773750185966492,0.622788727283478,0.193279474973679,0.329127043485641
"12",12,"Australia",7.16209983825684,7.24352216720581,7.08067750930786,2.01133155822754,1.89988851547241,1.20338428020477,0.772303640842438,0.676495969295502,0.257609158754349,0.341045796871185
"13",13,"Ireland",7.04080009460449,7.12075185775757,6.96084833145142,1.74319219589233,2.12903237342834,1.16560709476471,0.778804838657379,0.626753926277161,0.18968403339386,0.407679229974747
"14",14,"Germany",7.03410005569458,7.12157869338989,6.94662141799927,2.14164972305298,1.92373847961426,1.08753645420074,0.775900781154633,0.585103571414948,0.162550911307335,0.35760560631752
"15",15,"Canada",7.02510023117065,7.10706853866577,6.94313192367554,1.92363882064819,1.88645327091217,1.18776273727417,0.78314334154129,0.658886194229126,0.216965392231941,0.368206232786179
"16",16,"United States",6.97679996490479,7.06535720825195,6.88824272155762,2.21361827850342,1.98234534263611,1.18163728713989,0.628133535385132,0.574272811412811,0.220041617751122,0.176712214946747
"17",17,"United Kingdom",6.94250011444092,7.01768684387207,6.86731338500977,1.96745491027832,1.86718022823334,1.14309990406036,0.749957859516144,0.596543729305267,0.289075195789337,0.329186648130417
"18",18,"Czechia",6.9197998046875,7.02867650985718,6.81092309951782,2.26263952255249,1.8150155544281,1.26008105278015,0.715006053447723,0.660386025905609,0.158460035920143,0.0482070073485374
"19",19,"Belgium",6.80499982833862,6.88968801498413,6.72031164169312,2.28313684463501,1.90725779533386,1.10615277290344,0.763656318187714,0.491943001747131,0.0493561327457428,0.203541144728661
"20",20,"France",6.68669986724854,6.7582745552063,6.61512517929077,1.89498996734619,1.86269056797028,1.21860063076019,0.807645440101624,0.567194044589996,0.0698990821838379,0.265632480382919
"21",21,"Bahrain",6.64690017700195,6.77946281433105,6.51433753967285,2.09235334396362,1.85397863388062,1.02893006801605,0.624890506267548,0.692910313606262,0.199259996414185,0.154591858386993
"22",22,"Slovenia",6.63009977340698,6.71832466125488,6.54187488555908,1.88487720489502,1.80962073802948,1.24905717372894,0.769412755966187,0.684525966644287,0.117814019322395,0.114752367138863
"23",23,"Costa Rica",6.58199977874756,6.68339109420776,6.48060846328735,2.34628677368164,1.58427369594574,1.05444359779358,0.744211971759796,0.661385297775269,0.0889740139245987,0.102405294775963
